Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Canada,Canada,CA,91.6,135.83,78.9,66.79,,false,
2024-01-01 01:00:00,Canada,Canada,CA,90.49,134.39,79.2,66.92,,false,
2024-01-01 02:00:00,Canada,Canada,CA,91.09,134.8,79.22,66.59,,false,
2024-01-01 03:00:00,Canada,Canada,CA,89.07,132.15,79.8,66.96,,false,
2024-01-01 04:00:00,Canada,Canada,CA,89.03,131.77,80.05,66.85,,false,
2024-01-01 05:00:00,Canada,Canada,CA,86.07,127.99,80.84,67.47,,false,
2024-01-01 06:00:00,Canada,Canada,CA,86.84,128.59,80.84,67.2,,false,
2024-01-01 07:00:00,Canada,Canada,CA,85.96,127.21,81.17,67.39,,false,
2024-01-01 08:00:00,Canada,Canada,CA,86.31,127.41,81.2,66.92,,false,
2024-01-01 09:00:00,Canada,Canada,CA,86.93,128.19,81.06,66.84,,false,
2024-01-01 10:00:00,Canada,Canada,CA,88.46,130.06,80.71,66.68,,false,
2024-01-01 11:00:00,Canada,Canada,CA,88.36,130.04,80.71,66.9,,false,
2024-01-01 12:00:00,Canada,Canada,CA,86.15,127.72,81.04,68.0,,false,
2024-01-01 13:00:00,Canada,Canada,CA,85.94,127.81,80.89,68.01,,false,
2024-01-01 14:00:00,Canada,Canada,CA,86.9,129.29,80.48,67.42,,false,
2024-01-01 15:00:00,Canada,Canada,CA,88.9,131.95,79.89,67.12,,false,
2024-01-01 16:00:00,Canada,Canada,CA,91.76,135.64,79.14,66.28,,false,
2024-01-01 17:00:00,Canada,Canada,CA,92.51,136.56,79.01,65.96,,false,
2024-01-01 18:00:00,Canada,Canada,CA,92.39,136.73,78.9,66.07,,false,
2024-01-01 19:00:00,Canada,Canada,CA,94.29,139.28,78.37,65.68,,false,
2024-01-01 20:00:00,Canada,Canada,CA,92.44,137.02,78.84,66.18,,false,
2024-01-01 21:00:00,Canada,Canada,CA,91.25,135.56,79.1,66.73,,false,
2024-01-01 22:00:00,Canada,Canada,CA,91.17,135.37,79.1,67.05,,false,
2024-01-01 23:00:00,Canada,Canada,CA,93.23,137.96,78.49,66.63,,false,
2024-01-02 00:00:00,Canada,Canada,CA,92.53,136.94,78.7,66.63,,false,
2024-01-02 01:00:00,Canada,Canada,CA,92.65,137.07,78.68,66.35,,false,
2024-01-02 02:00:00,Canada,Canada,CA,93.49,137.93,78.53,65.96,,false,
2024-01-02 03:00:00,Canada,Canada,CA,92.6,136.55,78.88,66.04,,false,
2024-01-02 04:00:00,Canada,Canada,CA,93.02,136.88,78.86,65.59,,false,
2024-01-02 05:00:00,Canada,Canada,CA,90.65,133.5,79.68,66.17,,false,
2024-01-02 06:00:00,Canada,Canada,CA,90.91,133.53,79.8,66.19,,false,
2024-01-02 07:00:00,Canada,Canada,CA,90.15,132.53,79.98,66.22,,false,
2024-01-02 08:00:00,Canada,Canada,CA,89.16,131.21,80.22,66.6,,false,
2024-01-02 09:00:00,Canada,Canada,CA,88.04,129.94,80.38,66.83,,false,
2024-01-02 10:00:00,Canada,Canada,CA,89.69,132.12,79.88,66.69,,false,
2024-01-02 11:00:00,Canada,Canada,CA,88.51,130.92,80.03,67.42,,false,
2024-01-02 12:00:00,Canada,Canada,CA,86.02,128.07,80.5,68.59,,false,
2024-01-02 13:00:00,Canada,Canada,CA,85.09,127.04,80.62,68.75,,false,
2024-01-02 14:00:00,Canada,Canada,CA,85.6,127.73,80.43,68.45,,false,
2024-01-02 15:00:00,Canada,Canada,CA,84.97,127.0,80.51,68.49,,false,
2024-01-02 16:00:00,Canada,Canada,CA,86.76,129.32,80.03,68.06,,false,
2024-01-02 17:00:00,Canada,Canada,CA,86.23,128.55,80.25,68.32,,false,
2024-01-02 18:00:00,Canada,Canada,CA,86.51,128.93,80.19,68.19,,false,
2024-01-02 19:00:00,Canada,Canada,CA,87.81,130.7,79.86,67.93,,false,
2024-01-02 20:00:00,Canada,Canada,CA,88.11,131.14,79.79,67.88,,false,
2024-01-02 21:00:00,Canada,Canada,CA,89.92,133.42,79.33,67.52,,false,
2024-01-02 22:00:00,Canada,Canada,CA,91.35,135.54,78.8,67.4,,false,
2024-01-02 23:00:00,Canada,Canada,CA,93.04,137.82,78.31,67.01,,false,
