Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,USA,US,382.49,453.54,35.45,17.58,,false,
2024-01-01 01:00:00,USA,USA,US,372.06,441.48,36.96,18.93,,false,
2024-01-01 02:00:00,USA,USA,US,368.66,437.93,37.36,18.96,,false,
2024-01-01 03:00:00,USA,USA,US,368.44,437.61,37.45,18.6,,false,
2024-01-01 04:00:00,USA,USA,US,372.59,442.29,36.91,17.65,,false,
2024-01-01 05:00:00,USA,USA,US,376.6,447.18,36.19,16.46,,false,
2024-01-01 06:00:00,USA,USA,US,380.62,452.04,35.46,15.43,,false,
2024-01-01 07:00:00,USA,USA,US,382.21,453.96,35.1,14.81,,false,
2024-01-01 08:00:00,USA,USA,US,383.1,455.13,34.71,14.25,,false,
2024-01-01 09:00:00,USA,USA,US,385.05,457.54,34.29,13.77,,false,
2024-01-01 10:00:00,USA,USA,US,389.67,462.61,33.63,13.23,,false,
2024-01-01 11:00:00,USA,USA,US,397.51,470.93,32.72,12.66,,false,
2024-01-01 12:00:00,USA,USA,US,400.24,473.72,32.52,12.89,,false,
2024-01-01 13:00:00,USA,USA,US,402.22,475.38,32.62,13.35,,false,
2024-01-01 14:00:00,USA,USA,US,396.88,469.36,33.65,14.72,,false,
2024-01-01 15:00:00,USA,USA,US,386.48,457.67,35.51,16.74,,false,
2024-01-01 16:00:00,USA,USA,US,380.09,450.33,36.83,18.19,,false,
2024-01-01 17:00:00,USA,USA,US,378.11,448.04,37.24,18.6,,false,
2024-01-01 18:00:00,USA,USA,US,372.99,442.69,37.75,19.05,,false,
2024-01-01 19:00:00,USA,USA,US,365.0,434.54,38.43,19.63,,false,
2024-01-01 20:00:00,USA,USA,US,360.51,429.93,38.84,20.05,,false,
2024-01-01 21:00:00,USA,USA,US,361.61,431.68,38.33,19.86,,false,
2024-01-01 22:00:00,USA,USA,US,372.13,443.24,36.72,18.78,,false,
2024-01-01 23:00:00,USA,USA,US,382.94,455.29,34.68,17.26,,false,
2024-01-02 00:00:00,USA,USA,US,378.08,449.65,35.25,17.02,,false,
2024-01-02 01:00:00,USA,USA,US,373.39,444.06,35.85,17.63,,false,
2024-01-02 02:00:00,USA,USA,US,368.76,439.08,36.42,18.03,,false,
2024-01-02 03:00:00,USA,USA,US,366.73,436.67,36.87,18.02,,false,
2024-01-02 04:00:00,USA,USA,US,361.7,431.15,37.7,18.31,,false,
2024-01-02 05:00:00,USA,USA,US,354.59,423.47,38.73,18.74,,false,
2024-01-02 06:00:00,USA,USA,US,350.16,419.3,39.02,18.66,,false,
2024-01-02 07:00:00,USA,USA,US,350.59,419.96,38.87,18.26,,false,
2024-01-02 08:00:00,USA,USA,US,351.85,421.78,38.36,17.71,,false,
2024-01-02 09:00:00,USA,USA,US,352.76,423.1,37.99,17.51,,false,
2024-01-02 10:00:00,USA,USA,US,356.6,427.49,37.37,17.48,,false,
2024-01-02 11:00:00,USA,USA,US,363.76,435.35,36.44,17.57,,false,
2024-01-02 12:00:00,USA,USA,US,371.47,443.42,35.71,17.84,,false,
2024-01-02 13:00:00,USA,USA,US,375.69,447.24,35.69,18.4,,false,
2024-01-02 14:00:00,USA,USA,US,368.03,438.08,37.17,19.96,,false,
2024-01-02 15:00:00,USA,USA,US,367.3,437.29,37.37,20.03,,false,
2024-01-02 16:00:00,USA,USA,US,362.63,432.04,38.36,20.74,,false,
2024-01-02 17:00:00,USA,USA,US,358.14,426.86,39.2,21.4,,false,
2024-01-02 18:00:00,USA,USA,US,358.46,427.37,39.06,21.06,,false,
2024-01-02 19:00:00,USA,USA,US,359.92,429.11,38.75,20.56,,false,
2024-01-02 20:00:00,USA,USA,US,362.13,431.96,38.1,19.8,,false,
2024-01-02 21:00:00,USA,USA,US,370.83,442.25,36.35,18.17,,false,
2024-01-02 22:00:00,USA,USA,US,381.07,454.02,34.58,16.85,,false,
2024-01-02 23:00:00,USA,USA,US,388.69,462.59,33.26,15.88,,false,
2024-01-03 00:00:00,USA,USA,US,391.68,465.54,32.81,14.97,,false,
2024-01-03 01:00:00,USA,USA,US,394.3,467.54,32.74,14.9,,false,
2024-01-03 02:00:00,USA,USA,US,399.31,472.92,32.14,13.98,,false,
2024-01-03 03:00:00,USA,USA,US,402.08,475.9,31.85,13.19,,false,
2024-01-03 04:00:00,USA,USA,US,402.46,476.43,31.86,12.57,,false,
2024-01-03 05:00:00,USA,USA,US,402.11,476.68,31.63,11.76,,false,
2024-01-03 06:00:00,USA,USA,US,403.08,478.11,31.42,11.18,,false,
2024-01-03 07:00:00,USA,USA,US,405.8,481.19,31.01,10.49,,false,
2024-01-03 08:00:00,USA,USA,US,408.25,483.58,30.9,10.53,,false,
2024-01-03 09:00:00,USA,USA,US,406.79,482.33,30.89,10.61,,false,
2024-01-03 10:00:00,USA,USA,US,406.33,482.31,30.65,10.8,,false,
2024-01-03 11:00:00,USA,USA,US,402.48,478.55,30.96,12.01,,false,
2024-01-03 12:00:00,USA,USA,US,401.39,477.48,31.08,13.08,,false,
2024-01-03 13:00:00,USA,USA,US,399.93,475.5,31.61,14.03,,false,
2024-01-03 14:00:00,USA,USA,US,393.36,468.04,32.72,14.93,,false,
2024-01-03 15:00:00,USA,USA,US,387.48,461.48,33.64,15.64,,false,
2024-01-03 16:00:00,USA,USA,US,381.97,455.45,34.48,16.28,,false,
2024-01-03 17:00:00,USA,USA,US,377.21,450.09,35.28,16.85,,false,
2024-01-03 18:00:00,USA,USA,US,376.16,449.19,35.3,16.7,,false,
2024-01-03 19:00:00,USA,USA,US,376.12,449.33,35.21,16.43,,false,
2024-01-03 20:00:00,USA,USA,US,378.82,452.6,34.61,15.68,,false,
2024-01-03 21:00:00,USA,USA,US,381.61,456.06,33.89,15.04,,false,
2024-01-03 22:00:00,USA,USA,US,387.93,463.46,32.68,14.25,,false,
2024-01-03 23:00:00,USA,USA,US,395.04,471.11,31.58,13.52,,false,
2024-01-04 00:00:00,USA,USA,US,396.74,472.13,31.77,14.04,,false,
2024-01-04 01:00:00,USA,USA,US,394.76,469.31,32.28,14.55,,false,
2024-01-04 02:00:00,USA,USA,US,390.95,465.25,32.83,14.7,,false,
2024-01-04 03:00:00,USA,USA,US,385.96,459.82,33.52,14.73,,false,
2024-01-04 04:00:00,USA,USA,US,383.52,457.2,33.83,14.4,,false,
2024-01-04 05:00:00,USA,USA,US,380.8,454.35,34.15,14.15,,false,
2024-01-04 06:00:00,USA,USA,US,380.58,454.24,34.09,13.67,,false,
2024-01-04 07:00:00,USA,USA,US,383.36,457.18,33.76,13.02,,false,
2024-01-04 08:00:00,USA,USA,US,385.47,459.07,33.72,12.88,,false,
2024-01-04 09:00:00,USA,USA,US,388.25,461.82,33.53,12.76,,false,
2024-01-04 10:00:00,USA,USA,US,391.22,465.12,33.12,12.74,,false,
2024-01-04 11:00:00,USA,USA,US,390.67,465.14,32.84,13.45,,false,
2024-01-04 12:00:00,USA,USA,US,389.54,463.86,33.08,14.63,,false,
2024-01-04 13:00:00,USA,USA,US,383.15,456.59,34.16,16.24,,false,
2024-01-04 14:00:00,USA,USA,US,371.04,442.77,36.19,18.35,,false,
2024-01-04 15:00:00,USA,USA,US,364.58,435.2,37.57,19.53,,false,
2024-01-04 16:00:00,USA,USA,US,358.18,427.57,39.03,20.76,,false,
2024-01-04 17:00:00,USA,USA,US,352.57,420.77,40.3,21.77,,false,
2024-01-04 18:00:00,USA,USA,US,352.37,420.22,40.56,21.83,,false,
2024-01-04 19:00:00,USA,USA,US,352.22,419.99,40.57,21.63,,false,
2024-01-04 20:00:00,USA,USA,US,353.08,421.0,40.35,21.28,,false,
2024-01-04 21:00:00,USA,USA,US,362.32,431.85,38.53,19.45,,false,
2024-01-04 22:00:00,USA,USA,US,375.67,447.04,36.28,17.75,,false,
2024-01-04 23:00:00,USA,USA,US,386.69,459.54,34.43,16.41,,false,
2024-01-05 00:00:00,USA,USA,US,389.97,463.01,33.79,16.07,,false,
2024-01-05 01:00:00,USA,USA,US,387.85,460.16,34.29,16.61,,false,
2024-01-05 02:00:00,USA,USA,US,387.04,459.0,34.51,16.57,,false,
2024-01-05 03:00:00,USA,USA,US,387.04,458.61,34.74,16.33,,false,
2024-01-05 04:00:00,USA,USA,US,381.38,452.63,35.6,16.45,,false,
2024-01-05 05:00:00,USA,USA,US,381.24,452.31,35.83,16.1,,false,
2024-01-05 06:00:00,USA,USA,US,382.76,453.87,35.69,15.6,,false,
2024-01-05 07:00:00,USA,USA,US,383.21,454.36,35.6,15.34,,false,
2024-01-05 08:00:00,USA,USA,US,381.54,452.34,35.95,15.63,,false,
2024-01-05 09:00:00,USA,USA,US,382.37,453.3,35.81,15.7,,false,
2024-01-05 10:00:00,USA,USA,US,382.02,453.68,35.43,15.74,,false,
2024-01-05 11:00:00,USA,USA,US,380.32,452.87,34.97,16.13,,false,
2024-01-05 12:00:00,USA,USA,US,379.54,452.27,34.98,17.05,,false,
2024-01-05 13:00:00,USA,USA,US,378.51,450.7,35.49,17.97,,false,
2024-01-05 14:00:00,USA,USA,US,370.28,441.16,36.88,19.18,,false,
2024-01-05 15:00:00,USA,USA,US,364.86,434.41,38.17,20.19,,false,
2024-01-05 16:00:00,USA,USA,US,360.56,429.01,39.32,20.97,,false,
2024-01-05 17:00:00,USA,USA,US,357.16,424.79,40.29,21.67,,false,
2024-01-05 18:00:00,USA,USA,US,353.97,420.7,41.12,22.3,,false,
2024-01-05 19:00:00,USA,USA,US,354.84,421.85,40.84,21.85,,false,
2024-01-05 20:00:00,USA,USA,US,356.9,424.41,40.25,21.14,,false,
2024-01-05 21:00:00,USA,USA,US,361.73,430.25,39.22,20.08,,false,
2024-01-05 22:00:00,USA,USA,US,367.48,437.36,37.94,19.2,,false,
2024-01-05 23:00:00,USA,USA,US,383.93,456.19,34.93,16.5,,false,
2024-01-06 00:00:00,USA,USA,US,394.03,467.13,33.37,15.13,,false,
2024-01-06 01:00:00,USA,USA,US,396.25,469.24,33.08,14.76,,false,
2024-01-06 02:00:00,USA,USA,US,398.98,472.11,32.81,14.12,,false,
2024-01-06 03:00:00,USA,USA,US,401.14,474.2,32.72,13.49,,false,
2024-01-06 04:00:00,USA,USA,US,400.44,473.14,33.01,13.16,,false,
2024-01-06 05:00:00,USA,USA,US,401.19,473.81,33.03,12.61,,false,
2024-01-06 06:00:00,USA,USA,US,400.81,473.59,33.04,12.12,,false,
2024-01-06 07:00:00,USA,USA,US,399.15,472.12,33.08,11.72,,false,
2024-01-06 08:00:00,USA,USA,US,398.38,471.36,33.12,11.43,,false,
2024-01-06 09:00:00,USA,USA,US,398.53,471.52,33.14,11.37,,false,
2024-01-06 10:00:00,USA,USA,US,398.33,471.34,33.16,11.52,,false,
2024-01-06 11:00:00,USA,USA,US,397.92,471.05,33.14,11.71,,false,
2024-01-06 12:00:00,USA,USA,US,397.44,470.69,33.11,12.17,,false,
2024-01-06 13:00:00,USA,USA,US,396.23,469.14,33.4,13.07,,false,
